Date,Year,IPO_Name,Issue_Size_Cr,Subscription_Times,Issue_Price,Listing_Open,Listing_Close,Listing_Gain_Pct,Current_Gain_Pct,Status
2018-01-29,2018,Newgen Software,424.62,8.25,245.0,256.0,253.0,3.27,148.57,Winner
2018-01-22,2018,Apollo Micro Sy,156.0,248.51,275.0,478.0,454.1,65.13,-57.85,Winner
2017-12-29,2017,Astron Paper & ,70.0,243.29,50.0,120.75,119.7,139.4,22.6,Winner
2017-12-18,2017,Future Supply,649.69,7.56,664.0,674.0,685.8,3.28,-87.52,Winner
2017-12-15,2017,Shalby ,504.8,2.82,248.0,237.0,239.25,-3.53,-21.85,Loser
2017-11-17,2017,HDFC Life,8695.01,4.89,290.0,313.0,344.25,18.71,129.34,Winner
2017-11-14,2017,Khadim India,493.06,1.9,750.0,727.0,688.5,-8.2,-60.82,Loser
2017-11-10,2017,Mahindra Logist,829.36,7.9,429.0,425.0,429.15,0.03,74.41,Winner
2017-11-06,2017,Nippon,1542.0,81.33,252.0,289.0,284.0,12.7,58.71,Winner
2017-10-25,2017,General Insuran,11372.0,1.38,912.0,870.4,435.2,-52.28,-80.25,Loser
2017-10-23,2017,IEX,1000.7,2.28,1650.0,1500.0,162.65,-90.14,-73.89,Loser
2017-10-16,2017,Godrej Agrovet,1157.31,95.41,460.0,615.0,595.55,29.47,50.87,Winner
2017-10-05,2017,Prataap Snacks ,481.94,46.97,938.0,1250.0,1178.3,25.62,-21.11,Winner
2017-10-03,2017,SBI Life Insura,8400.0,3.55,700.0,735.0,708.0,1.14,57.1,Winner
2017-09-27,2017,ICICI Lombard ,5700.94,2.98,661.0,651.0,681.55,3.11,123.24,Winner
2017-09-25,2017,Capacite Infra,400.0,183.03,250.0,360.0,342.4,36.96,-8.66,Winner
2017-09-21,2017,Matrimony.com,501.07,4.44,985.0,985.0,901.2,-8.51,17.22,Loser
2017-09-18,2017,Dixon Technolog,599.28,117.27,1766.0,2725.0,578.56,-67.24,143.54,Loser
2017-09-18,2017,Bharat Road Net,600.65,1.75,205.0,205.0,208.15,1.54,-83.02,Winner
2017-09-04,2017,Apex Frozen,152.25,6.14,175.0,202.0,209.85,19.91,115.54,Winner
2017-08-11,2017,Cochin Shipyard,1454.0,76.06,432.0,461.0,522.0,20.83,-12.86,Winner
2017-08-10,2017,SIS,362.25,6.92,815.0,875.0,378.35,-53.58,-40.49,Loser
2017-07-25,2017,Salasar Techno ,35.87,277.28,108.0,259.45,272.1,151.94,216.67,Winner
2017-07-10,2017,AU Small Financ,1912.51,53.6,358.0,544.0,541.2,51.17,240.75,Winner
2017-07-04,2017,GTPL Hathway,484.8,1.53,170.0,170.0,171.65,0.97,12.56,Winner
2017-06-30,2017,CDSL,523.99,170.16,149.0,250.0,261.6,75.57,793.59,Winner
2017-06-29,2017,Eris Life,1741.1,3.29,603.0,612.0,601.05,-0.32,31.36,Loser
2017-06-27,2017,Tejas Networks,326.69,1.88,257.0,257.7,263.3,2.45,0.51,Winner
2017-06-06,2017,IndiGrid InvIT ,2250.0,1.35,100.0,99.7,95.08,-4.92,41.25,Loser
2017-05-29,2017,PSP Projects,211.68,8.58,210.0,195.0,208.95,-0.5,121.31,Loser
2017-05-19,2017,HUDCO,1224.0,79.53,58.0,76.5,72.5,25.0,-21.9,Winner
2017-05-09,2017,S Chand and Co,325.0,59.49,670.0,675.85,675.85,0.87,-78.96,Winner
2017-04-05,2017,Shankara Buildi,232.96,41.88,460.0,545.0,632.8,37.57,42.23,Winner
2017-03-31,2017,CL Educate,238.95,1.9,500.0,398.0,417.9,-16.42,-68.07,Loser
2017-03-21,2017,Avenue Supermar,1870.0,104.48,299.0,604.0,640.75,114.3,1070.75,Winner
2017-03-17,2017,Music Broadcast,488.53,39.67,333.0,413.0,59.7,-82.07,-92.61,Loser
2017-02-03,2017,BSE Limited,1243.0,51.22,806.0,1085.0,1069.2,32.66,54.94,Winner
2016-12-19,2016,Laurus Labs,560.7,4.53,428.0,489.9,96.1,-77.55,49.68,Loser
2016-12-09,2016,Sheela Foam,178.5,5.09,730.0,860.0,1032.0,41.37,226.71,Winner
2016-11-08,2016,Varun Beverages,1114.0,1.86,445.0,430.0,205.29,-53.87,70.43,Loser
2016-11-07,2016,PNB Housing Fin,3000.0,29.53,775.0,860.0,890.6,14.92,-12.61,Winner
2016-10-19,2016,Endurance Techn,1161.0,0.92,472.0,572.0,647.7,37.22,267.37,Winner
2016-10-04,2016,HPL Electric & ,361.0,8.06,202.0,190.0,189.05,-6.41,-58.64,Loser
2016-09-29,2016,ICICI Prudentia,6057.0,10.48,334.0,329.0,297.65,-10.88,89.1,Loser
2016-09-27,2016,GNA Axles,130.41,54.88,207.0,252.0,233.45,12.78,214.49,Winner
2016-09-23,2016,L&T Technology,900.0,2.52,860.0,900.0,865.1,0.59,332.56,Winner
2016-08-31,2016,RBL Bank,1100.0,69.62,225.0,274.4,299.3,33.02,-14.24,Winner
